TS                     TYPE      REASON                           OBJ                           MSG
2026-07-04T12:35:05Z   Normal    Started                          gpufleet-1-5dfb5566b4-59hg6   Container started
2026-07-04T12:35:58Z   Warning   Unhealthy                        gpufleet-0-599bd986d6-vs2wc   Readiness probe failed: Get "http://10.42.0.6:8000/health": dial tcp 10.42.0.6:8000: connect: connection refused
2026-07-04T12:44:50Z   Normal    SuccessfulCreate                 gpufleet-1-c6dc7c445          Created pod: gpufleet-1-c6dc7c445-jp269
2026-07-04T12:44:50Z   Normal    ScalingReplicaSet                gpufleet-1                    Scaled up replica set gpufleet-1-c6dc7c445 from 0 to 1
2026-07-04T12:44:51Z   Normal    Created                          gpufleet-1-c6dc7c445-jp269    Container created
2026-07-04T12:44:51Z   Normal    Started                          gpufleet-1-c6dc7c445-jp269    Container started
2026-07-04T12:44:51Z   Normal    Pulled                           gpufleet-1-c6dc7c445-jp269    Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
2026-07-04T12:45:42Z   Warning   Unhealthy                        gpufleet-1-c6dc7c445-jp269    Readiness probe failed: Get "http://10.42.2.3:8000/health": dial tcp 10.42.2.3:8000: connect: connection refused
2026-07-04T12:45:47Z   Normal    SuccessfulDelete                 gpufleet-1-5dfb5566b4         Deleted pod: gpufleet-1-5dfb5566b4-59hg6
2026-07-04T12:45:47Z   Normal    Killing                          gpufleet-1-5dfb5566b4-59hg6   Stopping container inference
2026-07-04T12:45:47Z   Normal    ScalingReplicaSet                gpufleet-1                    Scaled down replica set gpufleet-1-5dfb5566b4 from 1 to 0
2026-07-04T12:47:00Z   Warning   Unhealthy                        gpufleet-1-5dfb5566b4-59hg6   Readiness probe failed: Get "http://10.42.1.3:8000/health": dial tcp 10.42.1.3:8000: connect: connection refused
