LAST SEEN   TYPE      REASON              OBJECT                              MESSAGE
41m         Normal    Started             pod/vllm-a-7b875bd466-6k8xx         Container started
41m         Normal    Created             pod/vllm-c-5dcdb747df-txsm8         Container created
41m         Normal    Started             pod/vllm-c-5dcdb747df-txsm8         Container started
41m         Normal    Pulled              pod/vllm-c-5dcdb747df-txsm8         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
41m         Normal    Started             pod/vllm-b-7695cfc44f-tdk7g         Container started
41m         Normal    Created             pod/vllm-b-7695cfc44f-tdk7g         Container created
41m         Normal    Pulled              pod/vllm-b-7695cfc44f-tdk7g         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
40m         Warning   Unhealthy           pod/vllm-a-7b875bd466-6k8xx         Readiness probe failed: Get "http://10.42.0.10:8000/health": dial tcp 10.42.0.10:8000: connect: connection refused
40m         Warning   Unhealthy           pod/vllm-c-5dcdb747df-txsm8         Readiness probe failed: Get "http://10.42.3.7:8000/health": dial tcp 10.42.3.7:8000: connect: connection refused
38m         Normal    Killing             pod/vllm-a-7b875bd466-6k8xx         Stopping container vllm
38m         Normal    ScalingReplicaSet   deployment/vllm-a                   Scaled down replica set vllm-a-7b875bd466 from 1 to 0
38m         Normal    SuccessfulDelete    replicaset/vllm-a-7b875bd466        Deleted pod: vllm-a-7b875bd466-6k8xx
38m         Normal    ScalingReplicaSet   deployment/vllm-b                   Scaled down replica set vllm-b-7695cfc44f from 1 to 0
38m         Normal    SuccessfulDelete    replicaset/vllm-b-7695cfc44f        Deleted pod: vllm-b-7695cfc44f-tdk7g
38m         Normal    Killing             pod/vllm-b-7695cfc44f-tdk7g         Stopping container vllm
38m         Normal    SuccessfulCreate    replicaset/vllm-a-54d67d6dbc        Created pod: vllm-a-54d67d6dbc-kpbl4
38m         Normal    ScalingReplicaSet   deployment/vllm-c                   Scaled down replica set vllm-c-5dcdb747df from 1 to 0
38m         Normal    SuccessfulCreate    replicaset/vllm-b-795d445654        Created pod: vllm-b-795d445654-wjtc2
38m         Normal    ScalingReplicaSet   deployment/vllm-a                   Scaled up replica set vllm-a-54d67d6dbc from 0 to 1
38m         Normal    Killing             pod/vllm-c-5dcdb747df-txsm8         Stopping container vllm
38m         Normal    SuccessfulDelete    replicaset/vllm-c-5dcdb747df        Deleted pod: vllm-c-5dcdb747df-txsm8
38m         Normal    ScalingReplicaSet   deployment/vllm-b                   Scaled up replica set vllm-b-795d445654 from 0 to 1
38m         Warning   Unhealthy           pod/vllm-b-7695cfc44f-tdk7g         Readiness probe failed: Get "http://10.42.1.7:8000/health": dial tcp 10.42.1.7:8000: connect: connection refused
38m         Normal    SuccessfulCreate    replicaset/vllm-c-c7f7ff9f4         Created pod: vllm-c-c7f7ff9f4-4cnjd
38m         Normal    ScalingReplicaSet   deployment/vllm-c                   Scaled up replica set vllm-c-c7f7ff9f4 from 0 to 1
38m         Normal    Created             pod/vllm-b-795d445654-wjtc2         Container created
38m         Normal    Created             pod/vllm-c-c7f7ff9f4-4cnjd          Container created
38m         Normal    Started             pod/vllm-a-54d67d6dbc-kpbl4         Container started
38m         Normal    Created             pod/vllm-a-54d67d6dbc-kpbl4         Container created
38m         Normal    Pulled              pod/vllm-a-54d67d6dbc-kpbl4         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
38m         Normal    Started             pod/vllm-c-c7f7ff9f4-4cnjd          Container started
38m         Normal    Pulled              pod/vllm-b-795d445654-wjtc2         Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
38m         Normal    Started             pod/vllm-b-795d445654-wjtc2         Container started
38m         Normal    Pulled              pod/vllm-c-c7f7ff9f4-4cnjd          Container image "vllm/vllm-openai@sha256:6d8429e38e3747723ca07ee1b17972e09bb9c51c4032b266f24fb1cc3b22ed8f" already present on machine and can be accessed by the pod
36m         Warning   Unhealthy           pod/vllm-b-795d445654-wjtc2         Readiness probe failed: Get "http://10.42.1.8:8000/health": dial tcp 10.42.1.8:8000: connect: connection refused
36m         Warning   Unhealthy           pod/vllm-c-c7f7ff9f4-4cnjd          Readiness probe failed: Get "http://10.42.3.8:8000/health": dial tcp 10.42.3.8:8000: connect: connection refused
30m         Normal    ScalingReplicaSet   deployment/exp-fleet-0              Scaled up replica set exp-fleet-0-65f98fdffd from 0 to 1
30m         Normal    SuccessfulCreate    replicaset/exp-fleet-0-65f98fdffd   Created pod: exp-fleet-0-65f98fdffd-zjfkl
30m         Normal    Pulling             pod/exp-fleet-0-65f98fdffd-zjfkl    Pulling image "registry.k8s.io/pause:3.10"
30m         Normal    Started             pod/exp-fleet-0-65f98fdffd-zjfkl    Container started
30m         Normal    Pulled              pod/exp-fleet-0-65f98fdffd-zjfkl    Successfully pulled image "registry.k8s.io/pause:3.10" in 286ms (286ms including waiting). Image size: 320368 bytes.
30m         Normal    Created             pod/exp-fleet-0-65f98fdffd-zjfkl    Container created
24m         Normal    ScalingReplicaSet   deployment/exp-fleet-0              Scaled up replica set exp-fleet-0-546944d5f8 from 0 to 1
24m         Normal    SuccessfulCreate    replicaset/exp-fleet-0-546944d5f8   Created pod: exp-fleet-0-546944d5f8-5h8fw
24m         Normal    Pulling             pod/exp-fleet-0-546944d5f8-5h8fw    Pulling image "registry.k8s.io/pause:3.10"
24m         Normal    Started             pod/exp-fleet-0-546944d5f8-5h8fw    Container started
24m         Normal    Pulled              pod/exp-fleet-0-546944d5f8-5h8fw    Successfully pulled image "registry.k8s.io/pause:3.10" in 349ms (349ms including waiting). Image size: 320368 bytes.
24m         Normal    Created             pod/exp-fleet-0-546944d5f8-5h8fw    Container created
24m         Normal    Killing             pod/exp-fleet-0-546944d5f8-5h8fw    Stopping container inference
24m         Normal    Killing             pod/exp-fleet-0-65f98fdffd-zjfkl    Stopping container inference
24m         Warning   Unhealthy           pod/exp-fleet-0-65f98fdffd-zjfkl    Readiness probe failed: Get "http://10.42.0.12:8000/health": dial tcp 10.42.0.12:8000: connect: connection refused
24m         Normal    ScalingReplicaSet   deployment/vllm-a                   Scaled down replica set vllm-a-54d67d6dbc from 1 to 0
24m         Normal    ScalingReplicaSet   deployment/vllm-a                   Scaled up replica set vllm-a-6d886c649b from 0 to 1
24m         Normal    SuccessfulDelete    replicaset/vllm-c-c7f7ff9f4         Deleted pod: vllm-c-c7f7ff9f4-4cnjd
24m         Warning   Unhealthy           pod/vllm-a-54d67d6dbc-kpbl4         Readiness probe failed: Get "http://10.42.0.11:8000/health": dial tcp 10.42.0.11:8000: connect: connection refused
24m         Normal    Killing             pod/vllm-a-54d67d6dbc-kpbl4         Stopping container vllm
24m         Normal    ScalingReplicaSet   deployment/vllm-b                   Scaled up replica set vllm-b-7885978c55 from 0 to 1
24m         Normal    ScalingReplicaSet   deployment/vllm-b                   Scaled down replica set vllm-b-795d445654 from 1 to 0
24m         Normal    SuccessfulCreate    replicaset/vllm-c-699fd75975        Created pod: vllm-c-699fd75975-kngg4
24m         Normal    SuccessfulDelete    replicaset/vllm-a-54d67d6dbc        Deleted pod: vllm-a-54d67d6dbc-kpbl4
24m         Normal    ScalingReplicaSet   deployment/vllm-c                   Scaled down replica set vllm-c-c7f7ff9f4 from 1 to 0
24m         Normal    Killing             pod/vllm-c-c7f7ff9f4-4cnjd          Stopping container vllm
24m         Normal    SuccessfulDelete    replicaset/vllm-b-795d445654        Deleted pod: vllm-b-795d445654-wjtc2
24m         Normal    Killing             pod/vllm-b-795d445654-wjtc2         Stopping container vllm
24m         Normal    SuccessfulCreate    replicaset/vllm-a-6d886c649b        Created pod: vllm-a-6d886c649b-6xdr4
24m         Normal    ScalingReplicaSet   deployment/vllm-c                   Scaled up replica set vllm-c-699fd75975 from 0 to 1
